LipidName	LipidGroup	LipidClass	LipidSubClass	UnsaturationIndex	ChainLength	ChainLengthGroup	SL_LCB	SL_FA	SL_OH	CL_FA
C17Cer	IS	IS	IS	IS	IS	IS	IS	IS	IS	IS
C8GC	IS	IS	IS	IS	IS	IS	IS	IS	IS	IS
CL56:0	IS	IS	IS	IS	IS	IS	IS	IS	IS	IS
Ergosterol	Sterols	Sterol	Sterol	NA	NA	NA	NA	NA	NA	NA
Ergosterol_esters	Sterols	Sterol	Sterol	NA	NA	NA	NA	NA	NA	NA
CL58:0_C14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL58:0_C16:0	CL	CL	CL	CL_0_DB	58	NA	NA	NA	NA	16_0_DB
CL58:1_C14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL58:1_C14:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL58:1_C16:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL58:1_C16:1	CL	CL	CL	CL_1_DB	58	NA	NA	NA	NA	16_1_DB
CL58:2_C14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL58:2_C14:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL58:2_C16:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL58:2_C16:1	CL	CL	CL	CL_2_DB	58	NA	NA	NA	NA	16_1_DB
CL58:3_C14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL58:3_C14:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL58:3_C16:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL58:3_C16:1	CL	CL	CL	CL_3_DB	58	NA	NA	NA	NA	16_1_DB
CL58:4_C14:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL58:4_C16:1	CL	CL	CL	CL_4_DB	58	NA	NA	NA	NA	16_1_DB
CL60:0_C14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL60:0_C16:0	CL	CL	CL	CL_0_DB	60	NA	NA	NA	NA	16_0_DB
CL60:1_C14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL60:1_C14:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL60:1_C16:0	CL	CL	CL	CL_1_DB	60	NA	NA	NA	NA	16_0_DB
CL60:1_C16:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL60:2_C14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL60:2_C14:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL60:2_C16:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL60:2_C16:1	CL	CL	CL	CL_2_DB	60	NA	NA	NA	NA	16_1_DB
CL60:3_C14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL60:3_C14:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL60:3_C16:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL60:3_C16:1	CL	CL	CL	CL_3_DB	60	NA	NA	NA	NA	16_1_DB
CL60:4_C14:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL60:4_C16:1	CL	CL	CL	CL_4_DB	60	NA	NA	NA	NA	16_1_DB
CL62:0_C14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL62:0_C16:0	CL	CL	CL	CL_0_DB	62	NA	NA	NA	NA	16_0_DB
CL62:1_C14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL62:1_C14:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL62:1_C16:0	CL	CL	CL	CL_1_DB	62	NA	NA	NA	NA	16_0_DB
CL62:1_C16:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL62:2_C14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL62:2_C14:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL62:2_C16:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL62:2_C16:1	CL	CL	CL	CL_2_DB	62	NA	NA	NA	NA	16_1_DB
CL62:3_C14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL62:3_C14:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL62:3_C16:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL62:3_C16:1	CL	CL	CL	CL_3_DB	62	NA	NA	NA	NA	16_1_DB
CL62:4_C14:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL62:4_C16:1	CL	CL	CL	CL_4_DB	62	NA	NA	NA	NA	16_1_DB
CL64:0_C14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL64:0_C16:0	CL	CL	CL	CL_0_DB	64	NA	NA	NA	NA	16_0_DB
CL64:0_C18:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL64:1_C14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL64:1_C14:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL64:1_C16:0	CL	CL	CL	CL_1_DB	64	NA	NA	NA	NA	16_0_DB
CL64:1_C16:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL64:1_C18:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL64:1_C18:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL64:2_C14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL64:2_C14:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL64:2_C16:0	CL	CL	CL	CL_2_DB	64	NA	NA	NA	NA	16_0_DB
CL64:2_C16:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL64:2_C18:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL64:2_C18:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL64:3_C14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL64:3_C14:1	CL	CL	CL	CL_3_DB	64	NA	NA	NA	NA	14_1_DB
CL64:3_C16:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL64:3_C16:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL64:3_C18:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL64:3_C18:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL64:4_C14:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL64:4_C16:1	CL	CL	CL	CL_4_DB	64	NA	NA	NA	NA	16_1_DB
CL64:4_C18:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL66:0_C14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL66:0_C16:0	CL	CL	CL	CL_02_DB	66	NA	NA	NA	NA	16_0_DB
CL66:0_C18:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL66:1_C14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL66:1_C14:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL66:1_C16:0	CL	CL	CL	CL_1_DB	66	NA	NA	NA	NA	16_0_DB
CL66:1_C16:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL66:1_C18:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL66:1_C18:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL66:2_C14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL66:2_C14:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL66:2_C16:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL66:2_C16:1	CL	CL	CL	CL_2_DB	66	NA	NA	NA	NA	16_1_DB
CL66:2_C18:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL66:2_C18:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL66:3_C14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL66:3_C14:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL66:3_C16:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL66:3_C16:1	CL	CL	CL	CL_3_DB	66	NA	NA	NA	NA	16_1_DB
CL66:3_C18:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL66:3_C18:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL66:4_C14:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL66:4_C16:1	CL	CL	CL	CL_4_DB	66	NA	NA	NA	NA	16_1_DB
CL66:4_C18:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL68:0_C14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL68:0_C16:0	CL	CL	CL	CL_0_DB	68	NA	NA	NA	NA	16_0_DB
CL68:0_C18:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL68:1_C14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL68:1_C14:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL68:1_C16:0	CL	CL	CL	CL_1_DB	68	NA	NA	NA	NA	16_0_DB
CL68:1_C16:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL68:1_C18:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL68:1_C18:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL68:2_C14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL68:2_C14:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL68:2_C16:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL68:2_C16:1	CL	CL	CL	CL_2_DB	68	NA	NA	NA	NA	16_1_DB
CL68:2_C18:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL68:2_C18:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL68:3_C14:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL68:3_C14:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL68:3_C16:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL68:3_C16:1	CL	CL	CL	CL_3_DB	68	NA	NA	NA	NA	16_1_DB
CL68:3_C18:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL68:3_C18:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL68:4_C14:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL68:4_C16:1	CL	CL	CL	CL_4_DB	68	NA	NA	NA	NA	16_1_DB
CL68:4_C18:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL70:0_C16:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL70:0_C18:0	CL	CL	CL	CL_0_DB	70	NA	NA	NA	NA	18_0_DB
CL70:1_C16:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL70:1_C16:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL70:1_C18:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL70:1_C18:1	CL	CL	CL	CL_1_DB	70	NA	NA	NA	NA	18_1_DB
CL70:2_C16:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL70:2_C16:1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL70:2_C18:0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CL70:2_C18:1	CL	CL	CL	CL_2_DB	70	NA	NA	NA	NA	18_1_DB
