Lipid	CheBI_ID	CheBI Name	SLM_ID	Name	Abbreviation_SLM	SMILES	InChIKey	Formula	Charge	Mass	Exact Mass	[M.]+	[M+H]+	[M+K]+	[M+Na]+	[M+Li]+	[M+NH4]+	[M+Cl]-	[M+OAc]-
LysoPC14:0	CHEBI:64483	lysophosphatidylcholine 14:0	SLM:000389181	Lysophosphatidylcholine (14:0)	LPC(14:0)	C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]		C22H46NO7P	0	467.576904	467.301178	467.300629	468.308472	506.264343	490.290405	474.31665	485.335022	502.270599	526.315063
LysoPC14:0	CHEBI:64489	1-myristoyl-sn-glycero-3-phosphocholine	SLM:000000691	1-tetradecanoyl-sn-glycero-3-phosphocholine	PC(14:0/0:0)	CCCCCCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C	InChIKey=VXUOFDJKYGDUJI-OAQYLSRUSA-N	C22H46NO7P	0	467.576904	467.301178	467.300629	468.308472	506.264343	490.290405	474.31665	485.335022	502.270599	526.315063
LysoPC14:1	CHEBI:67054	lysophosphatidylcholine 14:1	SLM:000055316	Lysophosphatidylcholine (14:1)	LPC(14:1)	C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]		C22H44NO7P	0	465.561005	465.285553	465.285004	466.292816	504.248688	488.27475	472.300995	483.319366	500.254944	524.299377
LysoPC14:1	CHEBI:73794	lysophosphatidylcholine 14:1(9Z)/0:0	SLM:000020758	1-(9Z-tetradecenoyl)-sn-glycero-3-phosphocholine	PC(14:1(9Z)/0:0)	CCCC\C=C/CCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C	InChIKey=JXGLGTFMAQOJBB-HEDKFQSOSA-N	C22H44NO7P	0	465.561005	465.285553	465.285004	466.292816	504.248688	488.27475	472.300995	483.319366	500.254944	524.299377
LysoPC16:0	CHEBI:64563	lysophosphatidylcholine 16:0	SLM:000055318	Lysophosphatidylcholine (16:0)	LPC(16:0)	C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]		C24H50NO7P	0	495.630096	495.332489	495.33194	496.339752	534.295654	518.321716	502.347931	513.366333	530.30188	554.346313
LysoPC16:0	CHEBI:72998	1-hexadecanoyl-sn-glycero-3-phosphocholine	SLM:000000556	1-hexadecanoyl-sn-glycero-3-phosphocholine	PC(16:0/0:0)	CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C	InChIKey=ASWBNKHCZGQVJV-HSZRJFAPSA-N	C24H50NO7P	0	495.630096	495.332489	495.33194	496.339752	534.295654	518.321716	502.347931	513.366333	530.30188	554.346313
LysoPC16:1	CHEBI:64560	lysophosphatidylcholine 16:1	SLM:000055319	Lysophosphatidylcholine (16:1)	LPC(16:1)	C[N+](C)(C)CCOP([O-])(=O)OCC(CO[*])O[*]		C24H48NO7P	0	493.614197	493.316833	493.316284	494.324127	532.279968	516.306091	500.332306	511.350677	528.286255	552.330688
LysoPC16:1	CHEBI:91305	lysophosphatidylcholine(16:1/0:0)				[C@@H](COC(=O)*)(COP(OCC[N+](C)(C)C)(=O)[O-])O		C24H48NO7P	0	493.614197	493.316833	493.316284	494.324127	532.279968	516.306091	500.332306	511.350677	528.286255	552.330688
LysoPC16:1	CHEBI:134604	lysophosphatidylcholine(16:1/0:0)				C(OC[C@H](COP(OCC[N+](C)(C)C)(=O)[O-])O)(*)=O		C24H48NO7P	0	493.614197	493.316833	493.316284	494.324127	532.279968	516.306091	500.332306	511.350677	528.286255	552.330688
LysoPC16:1	CHEBI:73851	1-[(9Z)-hexadecenoyl]-sn-glycero-3-phosphocholine	SLM:000020757	1-(9Z-hexadecenoyl)-sn-glycero-3-phosphocholine	PC(16:1(9Z)/0:0)	CCCCCC\C=C/CCCCCCCC(=O)OC[C@@H](O)COP([O-])(=O)OCC[N+](C)(C)C	InChIKey=LFUDDCMNKWEORN-ZXEGGCGDSA-N	C24H48NO7P	0	493.614197	493.316833	493.316284	494.324127	532.279968	516.306091	500.332306	511.350677	528.286255	552.330688
