lipidID,group,class,subClass,chainLength,unsatIndex,nrDB
CL58:0_C16:0,CL,CL,CL,58,CL_0_DB,0
CL58:1_C16:1,CL,CL,CL,58,CL_1_DB,1
CL58:2_C16:1,CL,CL,CL,58,CL_2_DB,2
CL58:3_C16:1,CL,CL,CL,58,CL_3_DB,3
CL60:0_C16:0,CL,CL,CL,60,CL_0_DB,0
CL60:1_C16:0,CL,CL,CL,60,CL_1_DB,1
CL60:2_C16:1,CL,CL,CL,60,CL_2_DB,2
CL60:3_C16:1,CL,CL,CL,60,CL_3_DB,3
CL60:4_C16:1,CL,CL,CL,60,CL_4_DB,4
CL62:0_C16:0,CL,CL,CL,62,CL_0_DB,0
CL62:1_C16:0,CL,CL,CL,62,CL_1_DB,1
CL62:2_C16:1,CL,CL,CL,62,CL_2_DB,2
CL62:3_C16:1,CL,CL,CL,62,CL_3_DB,3
CL62:4_C16:1,CL,CL,CL,62,CL_4_DB,4
CL64:0_C16:0,CL,CL,CL,64,CL_0_DB,0
CL64:1_C16:0,CL,CL,CL,64,CL_1_DB,1
CL64:2_C16:0,CL,CL,CL,64,CL_2_DB,2
CL64:3_C14:1,CL,CL,CL,64,CL_3_DB,3
CL64:4_C16:1,CL,CL,CL,64,CL_4_DB,4
CL66:0_C16:0,CL,CL,CL,66,CL_0_DB,0
CL66:1_C16:0,CL,CL,CL,66,CL_1_DB,1
CL66:2_C16:1,CL,CL,CL,66,CL_2_DB,2
CL66:3_C16:1,CL,CL,CL,66,CL_3_DB,3
CL66:4_C16:1,CL,CL,CL,66,CL_4_DB,4
CL68:0_C16:0,CL,CL,CL,68,CL_0_DB,0
CL68:1_C16:0,CL,CL,CL,68,CL_1_DB,1
CL68:2_C16:1,CL,CL,CL,68,CL_2_DB,2
CL68:3_C16:1,CL,CL,CL,68,CL_3_DB,3
CL68:4_C16:1,CL,CL,CL,68,CL_4_DB,4
CL70:0_C18:0,CL,CL,CL,70,CL_0_DB,0
CL70:1_C18:1,CL,CL,CL,70,CL_1_DB,1
CL70:2_C18:1,CL,CL,CL,70,CL_2_DB,2
CL70:3_C18:1,CL,CL,CL,70,CL_3_DB,3
CL70:4_C18:1,CL,CL,CL,70,CL_4_DB,4
CL72:0_C18:0,CL,CL,CL,72,CL_0_DB,0
CL72:1_C18:1,CL,CL,CL,72,CL_1_DB,1
CL72:2_C18:1,CL,CL,CL,72,CL_2_DB,2
CL72:3_C18:1,CL,CL,CL,72,CL_3_DB,3
CL72:4_C18:1,CL,CL,CL,72,CL_4_DB,4
LysoPC14:0,PL,PC,LysoPC,14,0_DB,0
LysoPC14:1,PL,PC,LysoPC,14,1_DB,1
LysoPC16:0,PL,PC,LysoPC,16,0_DB,0
