"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"ATF1" "MATCH" "1" "ATF1" "S. cerevisiae" "AcetylTransFerase" "1578" "YOR377W" "S000005904" "ORF"
"YPR071W" "MATCH" "1" "" "S. cerevisiae" "" "636" "YPR071W" "S000006275" "ORF"
"FAR8" "MATCH" "1" "FAR8" "S. cerevisiae" "Factor ARrest" "1572" "YMR029C" "S000004631" "ORF"
"ATF2" "MATCH" "1" "ATF2" "S. cerevisiae" "AcetylTransFerase" "1608" "YGR177C" "S000003409" "ORF"
"ATG27" "MATCH" "1" "ATG27" "S. cerevisiae" "AuTophaGy related" "816" "YJL178C" "S000003714" "ORF"
"SSO2" "MATCH" "1" "SSO2" "S. cerevisiae" "Supressor of Sec One" "888" "YMR183C" "S000004795" "ORF"
"TVP23" "MATCH" "1" "TVP23" "S. cerevisiae" "Tlg2-Vesicle Protein" "600" "YDR084C" "S000002491" "ORF"
"CWH41" "MATCH" "1" "CWH41" "S. cerevisiae" "Calcofluor White Hypersensitive" "2502" "YGL027C" "S000002995" "ORF"
"EPS1" "MATCH" "1" "EPS1" "S. cerevisiae" "ER-retained Pma1 Suppressing" "2106" "YIL005W" "S000001267" "ORF"
"ARG82" "MATCH" "1" "ARG82" "S. cerevisiae" "ARGinine requiring" "1068" "YDR173C" "S000002580" "ORF"
"EMC10" "MATCH" "1" "EMC10" "S. cerevisiae" "ER Membrane protein Complex" "618" "YDR056C" "S000002463" "ORF"
"CWH43" "MATCH" "1" "CWH43" "S. cerevisiae" "Calcofluor White Hypersensitive" "2862" "YCR017C" "S000000610" "ORF"
"IFA38" "MATCH" "1" "IFA38" "S. cerevisiae" "" "1044" "YBR159W" "S000000363" "ORF"
"MTC1" "MATCH" "1" "MTC1" "S. cerevisiae" "Maintenance of Telomere Capping" "1437" "YJL123C" "S000003659" "ORF"
"KRE5" "MATCH" "1" "KRE5" "S. cerevisiae" "Killer toxin REsistant" "4098" "YOR336W" "S000005863" "ORF"
"SET2" "MATCH" "1" "SET2" "S. cerevisiae" "SET domain-containing" "2202" "YJL168C" "S000003704" "ORF"
"KRE2" "MATCH" "1" "KRE2" "S. cerevisiae" "Killer toxin REsistant" "1329" "YDR483W" "S000002891" "ORF"
"APQ12" "MATCH" "1" "APQ12" "S. cerevisiae" "APical growth revealed by Quantitative morphological analysis" "417" "YIL040W" "S000001302" "ORF"
"MTC4" "MATCH" "1" "MTC4" "S. cerevisiae" "Maintenance of Telomere Capping" "2085" "YBR255W" "S000000459" "ORF"
"SUR2" "MATCH" "1" "SUR2" "S. cerevisiae" "SUppressor of Rvs161 and rvs167 mutations" "1050" "YDR297W" "S000002705" "ORF"
"GTT1" "MATCH" "1" "GTT1" "S. cerevisiae" "GlutaThione Transferase" "705" "YIR038C" "S000001477" "ORF"
"VAB2" "MATCH" "1" "VAB2" "S. cerevisiae" "VAc8p Binding" "849" "YEL005C" "S000000731" "ORF"
"YEA4" "MATCH" "1" "YEA4" "S. cerevisiae" "" "1029" "YEL004W" "S000000730" "ORF"
"VPS21" "MATCH" "1" "VPS21" "S. cerevisiae" "Vacuolar Protein Sorting" "633" "YOR089C" "S000005615" "ORF"
"TVP38" "MATCH" "1" "TVP38" "S. cerevisiae" "Tlg2-Vesicle Protein" "1014" "YKR088C" "S000001796" "ORF"
"GCS1" "MATCH" "1" "GCS1" "S. cerevisiae" "Growth Cold Sensitive" "1059" "YDL226C" "S000002385" "ORF"
"FAR3" "MATCH" "1" "FAR3" "S. cerevisiae" "Factor ARrest" "615" "YMR052W" "S000004656" "ORF"
"RPN6" "MATCH" "1" "RPN6" "S. cerevisiae" "Regulatory Particle Non-ATPase" "1305" "YDL097C" "S000002255" "ORF"
"SLC1" "MATCH" "1" "SLC1" "S. cerevisiae" "SphingoLipid Compensation" "912" "YDL052C" "S000002210" "ORF"
"RPN4" "MATCH" "1" "RPN4" "S. cerevisiae" "Regulatory Particle Non-ATPase" "1596" "YDL020C" "S000002178" "ORF"
"BUG1" "MATCH" "1" "BUG1" "S. cerevisiae" "Binder of USO1 and GRH1" "1026" "YDL099W" "S000002257" "ORF"
"RPN2" "MATCH" "1" "RPN2" "S. cerevisiae" "Regulatory Particle Non-ATPase" "2838" "YIL075C" "S000001337" "ORF"
"YEL043W" "MATCH" "1" "" "S. cerevisiae" "" "2871" "YEL043W" "S000000769" "ORF"
"RPN1" "MATCH" "1" "RPN1" "S. cerevisiae" "Regulatory Particle Non-ATPase" "2982" "YHR027C" "S000001069" "ORF"
"AYR1" "MATCH" "1" "AYR1" "S. cerevisiae" "1-AcyldihYdroxyacetone-phosphate Reductase" "894" "YIL124W" "S000001386" "ORF"
"FPR2" "MATCH" "1" "FPR2" "S. cerevisiae" "FKBP Proline Rotamase" "408" "YDR519W" "S000002927" "ORF"
"MSC1" "MATCH" "1" "MSC1" "S. cerevisiae" "Meiotic Sister-Chromatid recombination" "1542" "YML128C" "S000004597" "ORF"
"MSC2" "MATCH" "1" "MSC2" "S. cerevisiae" "Meiotic Sister-Chromatid recombination" "2175" "YDR205W" "S000002613" "ORF"
"PRY3" "MATCH" "1" "PRY3" "S. cerevisiae" "Pathogen Related in Yeast" "2646" "YJL078C" "S000003614" "ORF"
"ATG8" "MATCH" "1" "ATG8" "S. cerevisiae" "AuTophaGy related" "354" "YBL078C" "S000000174" "ORF"
"MSC7" "MATCH" "1" "MSC7" "S. cerevisiae" "Meiotic Sister-Chromatid recombination" "1935" "YHR039C" "S000001081" "ORF"
"PRY1" "MATCH" "1" "PRY1" "S. cerevisiae" "Pathogen Related in Yeast" "900" "YJL079C" "S000003615" "ORF"
"MKT1" "MATCH" "1" "MKT1" "S. cerevisiae" "Maintenance of K2 Killer Toxin" "2493" "YNL085W" "S000005029" "ORF"
"ARE2" "MATCH" "1" "ARE2" "S. cerevisiae" "Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme" "1929" "YNR019W" "S000005302" "ORF"
"BSD2" "MATCH" "1" "BSD2" "S. cerevisiae" "Bypass Sod1p Defects" "966" "YBR290W" "S000000494" "ORF"
"CUE1" "MATCH" "1" "CUE1" "S. cerevisiae" "Coupling of Ubiquitin conjugation to ER degradation" "612" "YMR264W" "S000004877" "ORF"
"ARE1" "MATCH" "1" "ARE1" "S. cerevisiae" "Acyl-coenzyme A: cholesterol acyl transferase-Related Enzyme" "1833" "YCR048W" "S000000644" "ORF"
"SSP120" "MATCH" "1" "SSP120" "S. cerevisiae" "Saccharomyces Secretory Protein" "705" "YLR250W" "S000004240" "ORF"
"VAC8" "MATCH" "1" "VAC8" "S. cerevisiae" "VACuole related" "1737" "YEL013W" "S000000739" "ORF"
"EPT1" "MATCH" "1" "EPT1" "S. cerevisiae" "EthanolaminePhosphoTransferase" "1267" "YHR123W" "S000001165" "ORF"
"PGA3" "MATCH" "1" "PGA3" "S. cerevisiae" "Processing of Gas1p and ALP" "939" "YML125C" "S000004594" "ORF"
"PGA2" "MATCH" "1" "PGA2" "S. cerevisiae" "Processing of Gas1p and ALP" "390" "YNL149C" "S000005093" "ORF"
"LAS21" "MATCH" "1" "LAS21" "S. cerevisiae" "Local Anestheticum Sensitive" "2493" "YJL062W" "S000003598" "ORF"
"SAM3" "MATCH" "1" "SAM3" "S. cerevisiae" "S-AdenosylMethionine metabolism" "1764" "YPL274W" "S000006195" "ORF"
"TVP15" "MATCH" "1" "TVP15" "S. cerevisiae" "Tlg2-Vesicle Protein" "432" "YDR100W" "S000002507" "ORF"
"COY1" "MATCH" "1" "COY1" "S. cerevisiae" "CASP Of Yeast" "2040" "YKL179C" "S000001662" "ORF"
"BSC6" "MATCH" "1" "BSC6" "S. cerevisiae" "Bypass of Stop Codon" "1494" "YOL137W" "S000005497" "ORF"
"ARF1" "MATCH" "1" "ARF1" "S. cerevisiae" "ADP-Ribosylation Factor" "546" "YDL192W" "S000002351" "ORF"
